南京#20240313#C1001	C1001	奥迪	孙颖	sold	南京	0000066.90	20240313
上海#20240411#C1002	C1002	奥迪	沈伟	sold	上海	0000040.40	20240411
重庆#20240520#C1003	C1003	本田	杨强	pending	重庆	0000027.40	20240520
广州#20241208#C1004	C1004	奔驰	沈洋	sold	广州	0000066.80	20241208
西安#20240305#C1005	C1005	特斯拉	郭敏	sold	西安	0000037.40	20240305
天津#20241218#C1006	C1006	特斯拉	沈军	pending	天津	0000042.70	20241218
上海#20240610#C1007	C1007	长城	周宁	sold	上海	0000018.90	20240610
郑州#20240131#C1008	C1008	蔚来	王芳	pending	郑州	0000046.20	20240131
宁波#20240112#C1009	C1009	理想	吴丽	sold	宁波	0000047.40	20240112
宁波#20241213#C1010	C1010	本田	郑强	sold	宁波	0000022.90	20241213
天津#20241201#C1011	C1011	蔚来	沈静	sold	天津	0000041.30	20241201
杭州#20240905#C1012	C1012	丰田	刘静	sold	杭州	0000026.10	20240905
北京#20240522#C1013	C1013	比亚迪	陈超	sold	北京	0000025.80	20240522
成都#20240619#C1014	C1014	蔚来	陈洋	pending	成都	0000045.40	20240619
沈阳#20240727#C1015	C1015	五菱	周涛	sold	沈阳	0000004.70	20240727
昆明#20240606#C1016	C1016	大众	郑敏	pending	昆明	0000024.20	20240606
广州#20240408#C1017	C1017	小鹏	周芳	sold	广州	0000033.00	20240408
西安#20241103#C1018	C1018	理想	周伟	sold	西安	0000042.40	20241103
西安#20240921#C1019	C1019	理想	杨强	sold	西安	0000035.40	20240921
成都#20241106#C1020	C1020	小鹏	郑敏	sold	成都	0000028.20	20241106
沈阳#20240705#C1021	C1021	特斯拉	杨杰	sold	沈阳	0000034.50	20240705
南京#20240426#C1022	C1022	蔚来	杨强	pending	南京	0000045.30	20240426
西安#20241207#C1023	C1023	大众	张伟	sold	西安	0000018.20	20241207
南京#20240801#C1024	C1024	丰田	赵洋	sold	南京	0000022.40	20240801
昆明#20241013#C1025	C1025	奔驰	赵杰	sold	昆明	0000047.10	20241013
天津#20241015#C1026	C1026	吉利	杨洋	pending	天津	0000019.30	20241015
沈阳#20240615#C1027	C1027	五菱	沈军	pending	沈阳	0000011.70	20240615
南京#20240920#C1028	C1028	蔚来	沈超	sold	南京	0000037.30	20240920
西安#20240815#C1029	C1029	丰田	郭伟	sold	西安	0000014.60	20240815
长沙#20240926#C1030	C1030	五菱	周静	sold	长沙	0000009.30	20240926
北京#20240212#C1031	C1031	长安	唐强	sold	北京	0000010.90	20240212
武汉#20241106#C1032	C1032	长安	郑静	sold	武汉	0000015.10	20241106
广州#20240422#C1033	C1033	小鹏	沈伟	sold	广州	0000030.20	20240422
西安#20240118#C1034	C1034	奥迪	周丽	pending	西安	0000032.00	20240118
武汉#20241016#C1035	C1035	大众	杨超	sold	武汉	0000019.60	20241016
深圳#20240831#C1036	C1036	蔚来	杨涛	pending	深圳	0000046.00	20240831
昆明#20240505#C1037	C1037	长安	郭宁	pending	昆明	0000014.50	20240505
